,Portfolio-Value-diff,Market-based-PnL,Summe Einzel-Tages-PnL,Abweichung (Portfolio vs Market),Abweichung (Portfolio vs Summe)
2020-06-12,0.0,0.0,0.0,0.0,0.0
2020-06-15,0.0,0.0,0.0,0.0,0.0
2020-06-16,0.0,0.0,0.0,0.0,0.0
2020-06-17,0.0,0.0,0.0,0.0,0.0
2020-06-18,0.0,0.0,0.0,0.0,0.0
2020-06-19,0.0,0.0,0.0,0.0,0.0
2020-06-22,0.0,0.0,0.0,0.0,0.0
2020-06-23,0.0,0.0,0.0,0.0,0.0
2020-06-24,0.0,0.0,0.0,0.0,0.0
2020-06-25,0.0,0.0,0.0,0.0,0.0
2020-06-26,0.0,0.0,0.0,0.0,0.0
2020-06-29,0.0,0.0,0.0,0.0,0.0
2020-06-30,0.0,0.0,0.0,0.0,0.0
2020-07-01,1837.0884292869741,0.0,0.0,1837.0884292869741,1837.0884292869741
2020-07-02,971.8912592761335,971.8912592761494,971.8912592761496,-1.5916157281026244e-11,-1.6143530956469476e-11
2020-07-03,0.0,0.0,0.0,0.0,0.0
2020-07-06,958.6721405044082,958.6721405043919,958.6721405043919,1.6257217794191092e-11,1.6257217794191092e-11
2020-07-07,-351.60553475032793,-351.6055347503196,-351.6055347503195,-8.355982572538778e-12,-8.412825991399586e-12
2020-07-08,2753.233422879901,2753.2334228799286,2753.2334228799286,-2.773958840407431e-11,-2.773958840407431e-11
2020-07-09,740.0870383716538,740.087038371607,740.087038371607,4.672529030358419e-11,4.672529030358419e-11
2020-07-10,-134.13493032603583,-134.13493032598058,-134.13493032598058,-5.525180313270539e-11,-5.525180313270539e-11
2020-07-13,-5076.226490718502,-5076.226490718549,-5076.226490718549,4.729372449219227e-11,4.729372449219227e-11
2020-07-14,1850.952709473102,1850.9527094731036,1850.9527094731038,-1.5916157281026244e-12,-1.8189894035458565e-12
2020-07-15,405.407819916014,405.40781991602597,405.40781991602597,-1.1993961379630491e-11,-1.1993961379630491e-11
2020-07-16,-621.5726401172869,-621.5726401172709,-621.5726401172709,-1.602984411874786e-11,-1.602984411874786e-11
2020-07-17,380.52850448068057,380.52850448065385,380.52850448065385,2.6716406864579767e-11,2.6716406864579767e-11
2020-07-20,3473.5085973843816,3473.508597384388,3473.508597384388,-6.366462912410498e-12,-6.366462912410498e-12
2020-07-21,-1424.7820417319017,-1424.7820417319092,-1424.7820417319094,7.503331289626658e-12,7.73070496506989e-12
2020-07-22,-185.03606411759392,-185.03606411758676,-185.03606411758676,-7.16227077646181e-12,-7.16227077646181e-12
2020-07-23,-2535.451606375529,-2535.4516063755154,-2535.4516063755154,-1.3642420526593924e-11,-1.3642420526593924e-11
2020-07-24,-264.8519650381204,-264.85196503811426,-264.8519650381142,-6.139089236967266e-12,-6.195932655828074e-12
2020-07-27,1690.0180750402942,1690.0180750402676,1690.0180750402674,2.660272002685815e-11,2.6830093702301383e-11
2020-07-28,-540.0918435853382,-540.091843585324,-540.0918435853239,-1.4210854715202004e-11,-1.432454155292362e-11
2020-07-29,1864.5881948770402,1864.5881948770705,1864.5881948770702,-3.0240698833949864e-11,-3.001332515850663e-11
2020-07-30,-404.3038054922654,-404.3038054922868,-404.30380549228676,2.142996891052462e-11,2.1373125491663814e-11
2020-07-31,1204.4879700712481,1204.4879700712463,1204.487970071246,1.8189894035458565e-12,2.0463630789890885e-12
2020-08-03,1453.9475733877189,1545.1018716752158,1545.1018716752158,-91.15429828749689,-91.15429828749689
2020-08-04,531.9012554252404,531.9012554252658,531.9012554252658,-2.546585164964199e-11,-2.546585164964199e-11
2020-08-05,1729.282814595077,1729.2828145950573,1729.282814595057,1.978150976356119e-11,2.000888343900442e-11
2020-08-06,128.21903789421776,128.21903789421813,128.21903789421808,-3.694822225952521e-13,-3.126388037344441e-13
2020-08-07,-1394.7751826825406,-1394.7751826825393,-1394.775182682539,-1.3642420526593924e-12,-1.5916157281026244e-12
2020-08-10,-1461.6446158665785,-1461.6446158665701,-1461.6446158665703,-8.412825991399586e-12,-8.185452315956354e-12
2020-08-11,-1703.4886029955087,-1703.4886029955048,-1703.4886029955046,-3.865352482534945e-12,-4.092726157978177e-12
2020-08-12,972.1682967124361,972.1682967124167,972.1682967124169,1.944044925039634e-11,1.921307557495311e-11
2020-08-13,1923.6219202762732,1923.6219202763073,1923.6219202763073,-3.410605131648481e-11,-3.410605131648481e-11
2020-08-14,-802.1655316720717,-802.1655316721144,-802.1655316721145,4.274625098332763e-11,4.285993782104924e-11
2020-08-17,2171.174344281564,2171.1743442815928,2171.1743442815928,-2.864908310584724e-11,-2.864908310584724e-11
2020-08-18,1117.0986145401548,1117.0986145401168,1117.0986145401168,3.7971403799019754e-11,3.7971403799019754e-11
2020-08-19,-410.6582563215925,-410.6582563215917,-410.6582563215918,-7.958078640513122e-13,-6.821210263296962e-13
2020-08-20,1578.326131228081,1578.3261312281143,1578.326131228114,-3.319655661471188e-11,-3.296918293926865e-11
2020-08-21,-401.23423928485136,-401.23423928485454,-401.23423928485454,3.183231456205249e-12,3.183231456205249e-12
2020-08-24,535.4469690117548,535.446969011729,535.4469690117289,2.580691216280684e-11,2.5920599000528455e-11
2020-08-25,1485.2471276425931,1485.2471276425997,1485.2471276425995,-6.59383658785373e-12,-6.366462912410498e-12
2020-08-26,2412.832781788049,2412.832781788074,2412.8327817880745,-2.5011104298755527e-11,-2.546585164964199e-11
2020-08-27,-1398.8079192332807,-1398.8079192332789,-1398.807919233279,-1.8189894035458565e-12,-1.5916157281026244e-12
2020-08-28,987.4718253674655,987.4718253674749,987.4718253674749,-9.43600753089413e-12,-9.43600753089413e-12
2020-08-31,319.83782316838915,319.83782316836715,319.8378231683672,2.1998403099132702e-11,2.1941559680271894e-11
2020-09-01,2818.7984862410376,2452.5612241931535,2452.561224193154,366.2372620478841,366.23726204788363
2020-09-02,230.71989815148117,230.71989815153142,230.71989815153142,-5.0249582272954285e-11,-5.0249582272954285e-11
2020-09-03,-5981.111965422213,-5981.111965422227,-5981.1119654222275,1.3642420526593924e-11,1.4551915228366852e-11
2020-09-04,-2085.841138477641,-2085.841138477625,-2085.841138477625,-1.5916157281026244e-11,-1.5916157281026244e-11
2020-09-07,0.0,0.0,0.0,0.0,0.0
2020-09-08,-2256.880452087251,-2256.8804520872754,-2256.880452087275,2.4556356947869062e-11,2.4101609596982598e-11
2020-09-09,2862.0560485754977,2862.0560485755,2862.0560485754995,-2.2737367544323206e-12,-1.8189894035458565e-12
2020-09-10,-1551.6709530925582,-1551.670953092579,-1551.6709530925793,2.091837814077735e-11,2.114575181622058e-11
2020-09-11,-357.6505775699625,-357.65057756994406,-357.650577569944,-1.8417267710901797e-11,-1.8474111129762605e-11
2020-09-14,2057.5639950598415,2057.563995059872,2057.563995059872,-3.0468072509393096e-11,-3.0468072509393096e-11
2020-09-15,1745.2861091222003,1745.2861091221807,1745.2861091221807,1.9554136088117957e-11,1.9554136088117957e-11
2020-09-16,-1609.9535147595016,-1609.9535147595013,-1609.953514759501,-2.2737367544323206e-13,-4.547473508864641e-13
2020-09-17,-808.7156571062078,-808.7156571062118,-808.7156571062119,3.979039320256561e-12,4.092726157978177e-12
2020-09-18,-427.10320028408023,-427.1032002840913,-427.1032002840913,1.1084466677857563e-11,1.1084466677857563e-11
