Date,SPY
1993-01-29,24.311
1993-02-01,24.4839
1993-02-02,24.5358
1993-02-03,24.7951
1993-02-04,24.8989
1993-02-05,24.8816
1993-02-08,24.8816
1993-02-09,24.7087
1993-02-10,24.7433
1993-02-11,24.8643
1993-02-12,24.6741
1993-02-16,24.0516
1993-02-17,24.0343
1993-02-18,24.0171
1993-02-19,24.1035
1993-02-22,24.19
1993-02-23,24.1727
1993-02-24,24.4839
1993-02-25,24.5358
1993-02-26,24.5704
1993-03-01,24.5012
1993-03-02,24.8643
1993-03-03,24.9681
1993-03-04,24.8297
1993-03-05,24.7606
1993-03-08,25.3139
1993-03-09,25.2274
1993-03-10,25.2793
1993-03-11,25.2101
1993-03-12,24.9508
1993-03-15,25.0718
1993-03-16,25.0718
1993-03-17,24.9162
1993-03-18,25.0718
1993-03-19,25.0339
1993-03-22,24.8949
1993-03-23,24.947
1993-03-24,24.947
1993-03-25,25.1033
1993-03-26,24.9644
1993-03-29,25.0686
1993-03-30,25.1381
1993-03-31,25.1207
1993-04-01,25.0339
1993-04-02,24.5127
1993-04-05,24.6343
1993-04-06,24.5648
1993-04-07,24.6517
1993-04-08,24.6169
1993-04-12,24.9644
1993-04-13,25.0165
1993-04-14,24.9817
1993-04-15,24.9817
1993-04-16,24.9817
1993-04-19,24.8775
1993-04-20,24.7559
1993-04-21,24.7385
1993-04-22,24.4258
1993-04-23,24.3216
1993-04-26,24.1305
1993-04-27,24.3911
1993-04-28,24.339
1993-04-29,24.4432
1993-04-30,24.4779
1993-05-03,24.6343
1993-05-04,24.7211
1993-05-05,24.7906
1993-05-06,24.7038
1993-05-07,24.6517
1993-05-10,24.7038
1993-05-11,24.808
1993-05-12,24.7733
1993-05-13,24.4779
1993-05-14,24.4606
1993-05-17,24.5474
1993-05-18,24.5301
1993-05-19,25.0339
1993-05-20,25.1033
1993-05-21,24.8775
1993-05-24,24.9817
1993-05-25,25.0339
1993-05-26,25.3466
1993-05-27,25.2597
1993-05-28,25.1381
1993-06-01,25.3813
1993-06-02,25.3466
1993-06-03,25.2597
1993-06-04,25.1728
1993-06-07,25.086
1993-06-08,24.8601
1993-06-09,24.947
1993-06-10,24.9644
1993-06-11,25.0686
1993-06-14,25.0339
1993-06-15,24.9817
1993-06-16,25.0339
1993-06-17,25.1207
1993-06-18,24.9138
1993-06-21,24.9663
1993-06-22,24.9838
1993-06-23,24.7564
1993-06-24,25.0888
1993-06-25,25.0713
1993-06-28,25.3512
1993-06-29,25.2288
1993-06-30,25.2288
1993-07-01,25.1588
1993-07-02,25.0188
1993-07-06,24.7564
1993-07-07,24.8264
1993-07-08,25.1063
1993-07-09,25.1763
1993-07-12,25.1588
1993-07-13,25.1413
1993-07-14,25.2288
1993-07-15,25.1238
1993-07-16,25.0538
1993-07-19,25.0363
1993-07-20,25.1063
1993-07-21,25.0888
1993-07-22,24.9138
1993-07-23,25.0363
1993-07-26,25.1763
1993-07-27,25.1588
1993-07-28,25.1063
1993-07-29,25.2463
1993-07-30,25.1063
1993-08-02,25.1763
1993-08-03,25.1938
1993-08-04,25.1938
1993-08-05,25.1413
1993-08-06,25.1763
1993-08-09,25.3162
1993-08-10,25.2988
1993-08-11,25.2988
1993-08-12,25.2288
1993-08-13,25.2638
1993-08-16,25.4037
1993-08-17,25.4912
1993-08-18,25.6312
1993-08-19,25.6312
1993-08-20,25.6487
1993-08-23,25.5962
1993-08-24,25.8761
1993-08-25,25.8936
1993-08-26,25.9111
1993-08-27,25.8936
1993-08-30,25.9986
1993-08-31,26.0686
1993-09-01,26.0336
1993-09-02,25.9461
1993-09-03,25.9636
1993-09-07,25.7886
1993-09-08,25.7012
1993-09-09,25.7536
1993-09-10,25.9811
1993-09-13,25.9986
1993-09-14,25.8936
1993-09-15,25.9636
1993-09-16,25.9111
1993-09-17,25.8082
1993-09-20,25.5969
1993-09-21,25.5089
1993-09-22,25.7201
1993-09-23,25.861
1993-09-24,25.7905
1993-09-27,26.0722
1993-09-28,26.0194
1993-09-29,25.9314
1993-09-30,25.8786
1993-10-01,26.0018
1993-10-04,26.037
1993-10-05,26.0018
1993-10-06,25.9842
1993-10-07,25.9138
1993-10-08,25.949
1993-10-11,26.0018
1993-10-12,26.037
1993-10-13,26.037
1993-10-14,26.3715
1993-10-15,26.5123
1993-10-18,26.4419
1993-10-19,26.2483
1993-10-20,26.2835
1993-10-21,26.2483
1993-10-22,26.125
1993-10-25,26.1954
1993-10-26,26.1778
1993-10-27,26.1954
1993-10-28,26.3891
1993-10-29,26.3891
1993-11-01,26.4595
1993-11-02,26.4419
1993-11-03,26.1074
1993-11-04,25.8258
1993-11-05,25.949
1993-11-08,25.9842
1993-11-09,26.0018
1993-11-10,26.1954
1993-11-11,26.125
1993-11-12,26.2483
1993-11-15,26.2307
1993-11-16,26.3539
1993-11-17,26.2131
1993-11-18,26.1426
1993-11-19,26.0898
1993-11-22,25.9314
1993-11-23,26.0722
1993-11-24,26.1778
1993-11-26,26.1954
1993-11-29,26.0898
1993-11-30,26.1074
1993-12-01,26.1426
1993-12-02,26.2131
1993-12-03,26.3187
1993-12-06,26.4067
1993-12-07,26.3891
1993-12-08,26.3891
1993-12-09,26.3011
1993-12-10,26.2483
1993-12-13,26.4067
1993-12-14,26.2131
1993-12-15,26.1778
1993-12-16,26.2659
1993-12-17,26.4102
1993-12-20,26.4457
1993-12-21,26.357
1993-12-22,26.5343
1993-12-23,26.5166
1993-12-27,26.6584
1993-12-28,26.7115
1993-12-29,26.6761
1993-12-30,26.5697
1993-12-31,26.4279
1994-01-03,26.357
1994-01-04,26.4634
1994-01-05,26.5166
1994-01-06,26.5166
1994-01-07,26.6761
1994-01-10,26.9951
1994-01-11,26.942
1994-01-12,26.8533
1994-01-13,26.7824
1994-01-14,26.8888
1994-01-17,26.8888
1994-01-18,26.9242
1994-01-19,26.8533
1994-01-20,26.9242
1994-01-21,26.8711
1994-01-24,26.7647
1994-01-25,26.7647
1994-01-26,26.8356
1994-01-27,27.0838
1994-01-28,27.1547
1994-01-31,27.3496
1994-02-01,27.2078
1994-02-02,27.3851
1994-02-03,27.261
1994-02-04,26.6406
1994-02-07,26.7647
1994-02-08,26.7824
1994-02-09,26.8888
1994-02-10,26.6584
1994-02-11,26.747
1994-02-14,26.7824
1994-02-15,26.9242
1994-02-16,26.9065
1994-02-17,26.747
1994-02-18,26.5875
1994-02-22,26.8533
1994-02-23,26.7824
1994-02-24,26.4279
1994-02-25,26.552
