portfolio,variant,dec_return,dec_return_pct,new_dec_return,new_dec_return_pct,difference,diff_pct,impact
30er_EqualWeight,conservative,0.0095673312765662,0.9567%,-0.0063261145106723315,-0.6326%,-0.01589344578723853,-1.5893%,High (>0.5%)
30er_EqualWeight,raw,-0.0102539231864107,-1.0254%,-0.01022697206008083,-1.0227%,2.6951126329869193e-05,0.0027%,Negligible (<0.01%)
30er_EqualWeight,trend_regime_v2,0.0189130832893233,1.8913%,-0.01022697206008083,-1.0227%,-0.02914005534940413,-2.9140%,High (>0.5%)
50er_EqualWeight,conservative,0.0068208058319838,0.6821%,-0.005627574118103995,-0.5628%,-0.012448379950087796,-1.2448%,High (>0.5%)
50er_EqualWeight,raw,-0.0091130067236172,-0.9113%,-0.009062649570136694,-0.9063%,5.0357153480506955e-05,0.0050%,Negligible (<0.01%)
50er_EqualWeight,trend_regime_v2,0.0134749495954005,1.3475%,-0.009062649570136694,-0.9063%,-0.022537599165537194,-2.2538%,High (>0.5%)
SA Large & TR10 Large & TW30_EqualWeight,conservative,0.0055620166999998,0.5562%,-0.00045959035294396156,-0.0460%,-0.006021607052943761,-0.6022%,High (>0.5%)
SA Large & TR10 Large & TW30_EqualWeight,raw,0.0109921279,1.0992%,-0.0007779291541862854,-0.0778%,-0.011770057054186286,-1.1770%,High (>0.5%)
SA Large & TR10 Large & TW30_EqualWeight,trend_regime_v2,0.0109921279,1.0992%,-0.0007779291541862854,-0.0778%,-0.011770057054186286,-1.1770%,High (>0.5%)
SA Large Caps_EqualWeight,conservative,-0.0136368068335455,-1.3637%,-0.0125202748452381,-1.2520%,0.0011165319883074,0.1117%,Medium (0.1-0.5%)
SA Large Caps_EqualWeight,raw,-0.0201508948733017,-2.0151%,-0.02008914809046103,-2.0089%,6.174678284067217e-05,0.0062%,Negligible (<0.01%)
SA Large Caps_EqualWeight,trend_regime_v2,-0.0201508948733017,-2.0151%,-0.02008914809046103,-2.0089%,6.174678284067217e-05,0.0062%,Negligible (<0.01%)
SA Mid Caps_EqualWeight,conservative,0.0093086602057033,0.9309%,-0.012563886262441204,-1.2564%,-0.021872546468144502,-2.1873%,High (>0.5%)
SA Mid Caps_EqualWeight,raw,-0.0201821055595866,-2.0182%,-0.02018210555958666,-2.0182%,-5.898059818321144e-17,-0.0000%,Negligible (<0.01%)
SA Mid Caps_EqualWeight,trend_regime_v2,0.0184223516535348,1.8422%,-0.02018210555958666,-2.0182%,-0.03860445721312146,-3.8604%,High (>0.5%)
SPY_EqualWeight,conservative,0.0001954687376073,0.0195%,0.0009200138195848417,0.0920%,0.0007245450819775418,0.0725%,Small (0.01-0.1%)
SPY_EqualWeight,raw,0.0014632931333593,0.1463%,0.0014632931333593557,0.1463%,5.572799166575493e-17,0.0000%,Negligible (<0.01%)
SPY_EqualWeight,trend_regime_v2,0.0014632931333593,0.1463%,0.0014632931333593557,0.1463%,5.572799166575493e-17,0.0000%,Negligible (<0.01%)
TR10 Large & TW30_EqualWeight,conservative,0.0039053051999999,0.3905%,0.0014076135916791799,0.1408%,-0.00249769160832072,-0.2498%,Medium (0.1-0.5%)
TR10 Large & TW30_EqualWeight,raw,0.0077179945000001,0.7718%,0.0021741331975433376,0.2174%,-0.0055438613024567625,-0.5544%,High (>0.5%)
TR10 Large & TW30_EqualWeight,trend_regime_v2,0.0077179945000001,0.7718%,0.0021741331975433376,0.2174%,-0.0055438613024567625,-0.5544%,High (>0.5%)
TR10 Large Caps X_EqualWeight,conservative,0.0001397150279041,0.0140%,-0.002346503762657881,-0.2347%,-0.002486218790561981,-0.2486%,Medium (0.1-0.5%)
TR10 Large Caps X_EqualWeight,raw,-0.0039080296326651,-0.3908%,-0.003908029632665122,-0.3908%,-2.168404344971009e-17,-0.0000%,Negligible (<0.01%)
TR10 Large Caps X_EqualWeight,trend_regime_v2,0.0002588068143065,0.0259%,-0.003908029632665122,-0.3908%,-0.004166836446971622,-0.4167%,Medium (0.1-0.5%)
TR10_EqualWeight,conservative,0.0056171762125833,0.5617%,-0.00029791301052040087,-0.0298%,-0.0059150892231037006,-0.5915%,High (>0.5%)
TR10_EqualWeight,raw,-0.0006943782766796,-0.0694%,-0.0005660739017602223,-0.0566%,0.00012830437491937764,0.0128%,Small (0.01-0.1%)
TR10_EqualWeight,trend_regime_v2,0.0110717350412103,1.1072%,-0.0005660739017602223,-0.0566%,-0.011637808942970522,-1.1638%,High (>0.5%)
TW30_EqualWeight,conservative,0.0075701197017346,0.7570%,0.0037737578954133433,0.3774%,-0.003796361806321257,-0.3796%,Medium (0.1-0.5%)
TW30_EqualWeight,raw,0.005984816188252,0.5985%,0.0059892566429133876,0.5989%,4.4404546613871845e-06,0.0004%,Negligible (<0.01%)
TW30_EqualWeight,trend_regime_v2,0.01498815232741,1.4988%,0.0059892566429133876,0.5989%,-0.008998895684496612,-0.8999%,High (>0.5%)
